571,"SFAX",13053,"AVVISTAMENTO/ARRIVO NAVE",13,"2019-10-17 02:30"
809,"GIULIA IEVOLI",8744,"DA ORMEGGIO A ORMEGGIO",18,"2018-01-02 15:32"
809,"GIULIA IEVOLI",8744,"DA ORMEGGIO A RADA",19,"2018-01-04 08:45"
809,"GIULIA IEVOLI",8744,"NAVE FUORI VISTA",26,"2018-01-04 16:00"
809,"GIULIA IEVOLI",8744,"PARTENZA DA RADA",25,"2018-01-04 16:00"
1790,"GINO CUCCO",7437,"DA ORMEGGIO A ORMEGGIO",18,"2018-01-02 15:20"
1790,"GINO CUCCO",7437,"DA ORMEGGIO A ORMEGGIO",18,"2018-01-15 08:15"
1790,"GINO CUCCO",7437,"DISORMEGGIO PER PARTENZA",23,"2018-01-17 05:00"
1790,"GINO CUCCO",7437,"NAVE FUORI VISTA",26,"2018-01-17 05:20"
1819,"ISKATEL 2",13549,"DA ORMEGGIO A ORMEGGIO",18,"2018-04-26 10:15"
1819,"ISKATEL 2",13549,"DA ORMEGGIO A ORMEGGIO",18,"2018-05-15 16:30"
1819,"ISKATEL 2",13549,"DA ORMEGGIO A ORMEGGIO",18,"2018-09-19 14:25"
1819,"ISKATEL 2",13549,"TONNEGGIO",21,"2018-01-04 10:20"
1829,"TRUDY",13552,"NAVE FUORI VISTA",26,"2020-11-23 18:45"
2009,"YAHYA JUNIOR",13608,"DA ORMEGGIO A ORMEGGIO",18,"2018-07-09 14:30"
2009,"YAHYA JUNIOR",13608,"DISORMEGGIO PER PARTENZA",23,"2018-07-09 20:20"
2009,"YAHYA JUNIOR",13608,"NAVE FUORI VISTA",26,"2018-07-09 20:40"
2077,"IEVOLI IVORY",12247,"DA ORMEGGIO A ORMEGGIO",18,"2018-01-22 09:00"
2077,"IEVOLI IVORY",12247,"DISORMEGGIO PER PARTENZA",23,"2018-03-08 15:30"
2077,"IEVOLI IVORY",12247,"NAVE FUORI VISTA",26,"2018-03-08 16:05"
2549,"IEVOLI GREEN",13621,"DISORMEGGIO PER PARTENZA",23,"2018-04-06 17:40"
2549,"IEVOLI GREEN",13621,"NAVE FUORI VISTA",26,"2018-04-06 18:10"
2658,"AMEDEO",9713,"DISORMEGGIO PER PARTENZA",23,"2018-04-06 08:00"
2658,"AMEDEO",9713,"NAVE FUORI VISTA",26,"2018-04-06 08:20"
2684,"SBI ORION",13802,"DISORMEGGIO PER PARTENZA",23,"2018-01-10 17:36"
